symbol,profitable,total_profit_usd,final_capital,trade_type,entry_price,exit_price,profit_pct,exit_reason,duration_hours,entry_time,exit_time
KMNOUSDT,False,-140.00000000000003,1860.0,long,0.19619,0.1824567,-7.000000000000002,Stop Loss,8.0,2024-12-20 19:00:00,2024-12-21 03:00:00
LAUSDT,True,399.9999999999998,2400.0,long,1.135,1.3619999999999999,19.999999999999986,Target Hit,2.0,2025-06-05 09:00:00,2025-06-05 11:00:00
LAYERUSDT,False,-140.00000000000023,1859.9999999999998,long,0.8094,0.7527419999999999,-7.0000000000000115,Stop Loss,1.0,2025-02-11 15:00:00,2025-02-11 16:00:00
LINEAUSDT,True,399.9999999999999,2400.0,short,0.05109,0.040872000000000006,19.999999999999996,Target Hit,10.0,2025-09-01 08:00:00,2025-09-01 18:00:00
LUMIAUSDT,False,-140.0,1860.0,long,1.885,1.75305,-7.000000000000001,Stop Loss,9.0,2024-12-18 11:00:00,2024-12-18 20:00:00
MAVIAUSDT,False,145.17975727043742,2145.179757270437,long,0.4367,0.4684,7.25898786352187,End of Data,23.0,2025-03-26 17:00:00,2025-03-27 16:00:00
MELANIAUSDT,False,-139.99999999999997,1860.0,short,10.662,11.40834,-6.999999999999999,Stop Loss,1.0,2025-01-20 09:00:00,2025-01-20 10:00:00
MERLUSDT,False,146.25898266873327,2146.258982668733,short,0.14194,0.13156,7.312949133436664,End of Data,23.0,2025-05-29 08:00:00,2025-05-30 07:00:00
MILKUSDT,False,-140.0000000000001,1860.0,long,0.12471,0.1159803,-7.000000000000004,Stop Loss,21.0,2025-05-06 13:00:00,2025-05-07 10:00:00
MITOUSDT,False,-140.00000000000017,1859.9999999999998,long,0.13193,0.12269489999999998,-7.000000000000008,Stop Loss,1.0,2025-08-28 16:00:00,2025-08-28 17:00:00
MLNUSDT,False,-140.00000000000009,1860.0,short,12.17,13.0219,-7.000000000000004,Stop Loss,1.0,2025-03-31 08:00:00,2025-03-31 09:00:00
MUBARAKUSDT,True,399.99999999999994,2400.0,long,0.1026,0.12312,20.0,Target Hit,1.0,2025-03-17 13:00:00,2025-03-17 14:00:00
MUSDT,False,-140.0,1860.0,long,0.1871,0.174003,-6.999999999999999,Stop Loss,1.0,2025-07-07 09:00:00,2025-07-07 10:00:00
MYXUSDT,True,400.0,2400.0,short,0.07587,0.06069600000000001,20.0,Target Hit,1.0,2025-06-18 12:00:00,2025-06-18 13:00:00
NAORISUSDT,False,-140.00000000000003,1860.0,short,0.0569,0.060883,-7.000000000000001,Stop Loss,1.0,2025-07-31 12:00:00,2025-07-31 13:00:00
NEWTUSDT,False,-140.00000000000014,1859.9999999999998,long,0.2469,0.229617,-7.000000000000008,Stop Loss,1.0,2025-06-19 14:00:00,2025-06-19 15:00:00
NILUSDT,False,-140.00000000000003,1860.0,short,0.7349,0.786343,-7.000000000000002,Stop Loss,3.0,2025-03-24 13:00:00,2025-03-24 16:00:00
NXPCUSDT,True,400.0000000000001,2400.0,long,2.8095,3.3714,20.000000000000004,Target Hit,1.0,2025-05-15 06:00:00,2025-05-15 07:00:00
OBOLUSDT,True,399.9999999999999,2400.0,short,0.38036,0.304288,19.999999999999993,Target Hit,5.0,2025-05-07 10:00:00,2025-05-07 15:00:00
OGUSDT,False,-140.00000000000028,1859.9999999999998,short,5.379,5.75553,-7.000000000000013,Stop Loss,1.0,2025-05-12 09:00:00,2025-05-12 10:00:00
OLUSDT,False,-140.00000000000028,1859.9999999999998,long,0.03504,0.0325872,-7.000000000000014,Stop Loss,13.0,2025-06-25 11:00:00,2025-06-26 00:00:00
OPENUSDT,False,-140.0000000000002,1859.9999999999998,long,1.4805,1.3768649999999998,-7.000000000000011,Stop Loss,1.0,2025-09-08 13:00:00,2025-09-08 14:00:00
PARTIUSDT,False,-140.0000000000002,1859.9999999999998,long,0.4109,0.38213699999999995,-7.000000000000009,Stop Loss,1.0,2025-03-25 13:00:00,2025-03-25 14:00:00
PAXGUSDT,False,14.438709086508059,2014.438709086508,long,3057.06,3079.13,0.721935454325403,End of Data,23.0,2025-03-27 10:00:00,2025-03-28 09:00:00
PENGUUSDC,False,269.02686674454134,2269.026866744541,short,0.044516,0.038528,13.451343337227065,End of Data,23.0,2025-07-23 07:00:00,2025-07-24 06:00:00
PENGUUSDT,False,-139.99999999999994,1860.0,short,0.0323,0.034561,-6.9999999999999964,Stop Loss,2.0,2024-12-17 16:00:00,2024-12-17 18:00:00
PHAUSDT,False,-140.00000000000023,1859.9999999999998,short,0.444,0.47508000000000006,-7.0000000000000115,Stop Loss,1.0,2024-12-30 11:00:00,2024-12-30 12:00:00
PIPPINUSDT,False,-140.00000000000006,1860.0,short,0.12599,0.1348093,-7.000000000000002,Stop Loss,2.0,2025-01-24 10:00:00,2025-01-24 12:00:00
PLAYUSDT,False,-140.00000000000009,1860.0,short,0.03378,0.0361446,-7.000000000000004,Stop Loss,1.0,2025-07-31 09:00:00,2025-07-31 10:00:00
PLUMEUSDT,False,203.73171961674228,2203.7317196167423,short,0.1983,0.1781,10.186585980837114,End of Data,23.0,2025-03-21 13:00:00,2025-03-22 12:00:00
PNUTUSDC,False,28.508771929824377,2028.5087719298244,short,0.19152,0.18879,1.425438596491219,End of Data,23.0,2025-03-07 10:00:00,2025-03-08 09:00:00
PORT3USDT,False,15.028901734104101,2015.028901734104,long,0.0519,0.05229,0.751445086705205,End of Data,23.0,2025-06-04 08:00:00,2025-06-05 07:00:00
PROMPTUSDT,False,-140.00000000000006,1860.0,long,0.1896,0.17632799999999998,-7.0000000000000036,Stop Loss,2.0,2025-04-11 06:00:00,2025-04-11 08:00:00
PROMUSDT,False,-140.00000000000023,1859.9999999999998,long,9.136,8.496479999999998,-7.0000000000000115,Stop Loss,2.0,2025-01-15 12:00:00,2025-01-15 14:00:00
PROVEUSDT,False,-140.00000000000003,1860.0,short,0.6654,0.711978,-7.000000000000001,Stop Loss,1.0,2025-08-05 17:00:00,2025-08-05 18:00:00
PTBUSDT,False,-140.00000000000003,1860.0,short,0.02472,0.0264504,-7.000000000000001,Stop Loss,1.0,2025-09-03 12:00:00,2025-09-03 13:00:00
PUFFERUSDT,False,79.06727418922537,2079.0672741892254,short,0.22386,0.21501,3.953363709461269,End of Data,23.0,2025-06-04 08:00:00,2025-06-05 07:00:00
PUMPBTCUSDT,False,163.58157554885915,2163.5815755488593,long,0.04646,0.05026,8.179078777442957,End of Data,23.0,2025-06-13 10:00:00,2025-06-14 09:00:00
PUMPUSDT,False,5.406449121451732,2005.4064491214517,short,0.005179,0.005165,0.27032245607258654,End of Data,23.0,2025-07-10 07:00:00,2025-07-11 06:00:00
PUNDIXUSDT,False,232.71011072789958,2232.7101107278995,short,0.5509,0.4868,11.63550553639498,End of Data,23.0,2025-04-30 10:00:00,2025-05-01 09:00:00
QUSDT,False,-140.00000000000026,1859.9999999999998,long,0.010796,0.010040279999999999,-7.000000000000013,Stop Loss,6.0,2025-09-02 07:00:00,2025-09-02 13:00:00
REDUSDT,True,400.0,2400.0,short,0.7765,0.6212,20.0,Target Hit,8.0,2025-03-06 16:00:00,2025-03-07 00:00:00
RESOLVUSDT,False,-140.00000000000006,1860.0,short,0.19979,0.2137753,-7.0000000000000036,Stop Loss,1.0,2025-06-10 13:00:00,2025-06-10 14:00:00
SAHARAUSDT,False,-140.00000000000014,1859.9999999999998,long,0.11714,0.10894019999999999,-7.000000000000006,Stop Loss,1.0,2025-06-26 12:00:00,2025-06-26 13:00:00
SAPIENUSDT,False,-140.0000000000003,1859.9999999999998,short,0.14285,0.15284950000000003,-7.000000000000016,Stop Loss,1.0,2025-08-20 17:00:00,2025-08-20 18:00:00
SHELLUSDT,False,-140.00000000000009,1860.0,long,0.4498,0.41831399999999996,-7.0000000000000036,Stop Loss,1.0,2025-02-17 17:00:00,2025-02-17 18:00:00
SIGNUSDT,False,-140.00000000000003,1860.0,long,0.07686,0.0714798,-7.000000000000002,Stop Loss,17.0,2025-04-28 11:00:00,2025-04-29 04:00:00
SIRENUSDT,False,-140.0000000000001,1860.0,short,0.0752,0.08046400000000001,-7.000000000000006,Stop Loss,1.0,2025-03-22 09:00:00,2025-03-22 10:00:00
SKATEUSDT,False,-140.00000000000009,1860.0,short,0.06614,0.07076980000000001,-7.000000000000004,Stop Loss,1.0,2025-06-09 10:00:00,2025-06-09 11:00:00
SKYAIUSDT,True,399.99999999999994,2400.0,long,0.06036,0.072432,20.0,Target Hit,14.0,2025-05-13 09:00:00,2025-05-13 23:00:00
SKYUSDT,False,-140.00000000000009,1860.0,long,0.07684,0.0714612,-7.0000000000000036,Stop Loss,16.0,2025-09-09 07:00:00,2025-09-09 23:00:00
SLPUSDT,False,252.34441602728035,2252.34441602728,short,0.002346,0.00205,12.617220801364015,End of Data,23.0,2025-07-23 11:00:00,2025-07-24 10:00:00
SOLVUSDT,True,400.0,2400.0,short,0.1453,0.11624000000000001,20.0,Target Hit,3.0,2025-01-17 12:00:00,2025-01-17 15:00:00
SOMIUSDT,False,-140.00000000000003,1860.0,long,1.473,1.36989,-7.000000000000002,Stop Loss,1.0,2025-08-25 09:00:00,2025-08-25 10:00:00
SONICUSDT,False,-140.00000000000009,1860.0,long,0.991,0.92163,-7.000000000000004,Stop Loss,2.0,2025-01-08 07:00:00,2025-01-08 09:00:00
SOONUSDT,False,-140.00000000000009,1860.0,long,0.54368,0.5056224,-7.0000000000000036,Stop Loss,8.0,2025-05-23 08:00:00,2025-05-23 16:00:00
SOPHUSDT,False,286.282306163022,2286.282306163022,short,0.071929,0.061633,14.314115308151102,End of Data,23.0,2025-05-28 13:00:00,2025-05-29 12:00:00
SPKUSDT,False,-140.00000000000006,1860.0,short,0.05447,0.0582829,-7.000000000000002,Stop Loss,1.0,2025-06-17 09:00:00,2025-06-17 10:00:00
SQDUSDT,False,-140.00000000000017,1859.9999999999998,long,0.26229,0.2439297,-7.000000000000009,Stop Loss,10.0,2025-06-11 12:00:00,2025-06-11 22:00:00
STBLUSDT,False,-140.00000000000003,1860.0,long,0.22323,0.2076039,-7.000000000000002,Stop Loss,1.0,2025-09-17 05:00:00,2025-09-17 06:00:00
STOUSDT,False,-140.00000000000006,1860.0,long,0.11427,0.1062711,-7.0000000000000036,Stop Loss,1.0,2025-04-12 14:00:00,2025-04-12 15:00:00
SUSDT,False,-54.3354068807924,1945.6645931192077,short,0.7877,0.8091,-2.71677034403962,End of Data,23.0,2025-01-16 10:00:00,2025-01-17 09:00:00
SWARMSUSDT,False,-140.0000000000001,1860.0,short,0.4615,0.49380500000000005,-7.000000000000006,Stop Loss,4.0,2025-01-07 12:00:00,2025-01-07 16:00:00
SXTUSDT,False,-140.00000000000017,1859.9999999999998,long,0.67894,0.6314141999999999,-7.000000000000009,Stop Loss,1.0,2025-05-02 08:00:00,2025-05-02 09:00:00
SYRUPUSDT,False,-140.00000000000003,1860.0,long,0.24103,0.2241579,-7.000000000000001,Stop Loss,3.0,2025-05-07 08:00:00,2025-05-07 11:00:00
TACUSDT,False,-140.00000000000028,1859.9999999999998,long,0.02457,0.022850099999999998,-7.000000000000013,Stop Loss,1.0,2025-07-15 10:00:00,2025-07-15 11:00:00
TAGUSDT,False,-140.0000000000002,1859.9999999999998,short,0.0006312,0.000675384,-7.000000000000011,Stop Loss,22.0,2025-07-25 11:00:00,2025-07-26 09:00:00
TAIKOUSDT,False,-64.9281532730175,1935.0718467269826,long,0.5637,0.5454,-3.246407663650875,End of Data,23.0,2025-06-11 12:00:00,2025-06-12 11:00:00
TAKEUSDT,True,400.0000000000001,2400.0,long,0.13518,0.162216,20.000000000000004,Target Hit,2.0,2025-09-03 11:00:00,2025-09-03 13:00:00
TANSSIUSDT,False,-140.00000000000006,1860.0,long,0.05073,0.047178899999999996,-7.0000000000000036,Stop Loss,1.0,2025-07-09 11:00:00,2025-07-09 12:00:00
TAUSDT,False,-139.99999999999997,1860.0,long,0.1685,0.156705,-6.999999999999999,Stop Loss,1.0,2025-07-21 07:00:00,2025-07-21 08:00:00
TOSHIUSDT,True,399.99999999999966,2399.9999999999995,long,0.0008253,0.0009903599999999998,19.999999999999986,Target Hit,1.0,2025-09-17 05:00:00,2025-09-17 06:00:00
TOWNSUSDT,False,-140.00000000000026,1859.9999999999998,short,0.03615,0.03868050000000001,-7.000000000000013,Stop Loss,1.0,2025-08-05 14:00:00,2025-08-05 15:00:00
TREEUSDT,True,399.99999999999994,2400.0,short,0.7842,0.62736,20.0,Target Hit,2.0,2025-07-29 14:00:00,2025-07-29 16:00:00
TRUMPUSDC,False,-140.00000000000006,1860.0,long,13.634,12.67962,-7.0000000000000036,Stop Loss,14.0,2025-03-06 10:00:00,2025-03-07 00:00:00
TRUMPUSDT,True,400.0,2400.0,long,22.912,27.4944,20.0,Target Hit,1.0,2025-01-18 13:00:00,2025-01-18 14:00:00
TSTUSDT,True,399.99999999999983,2400.0,short,0.3285,0.26280000000000003,19.999999999999993,Target Hit,1.0,2025-02-09 13:00:00,2025-02-09 14:00:00
TUTUSDT,False,-140.0000000000001,1860.0,long,0.04556,0.0423708,-7.000000000000006,Stop Loss,5.0,2025-03-20 09:00:00,2025-03-20 14:00:00
UBUSDT,False,-140.00000000000017,1859.9999999999998,long,0.023038,0.021425339999999998,-7.000000000000008,Stop Loss,2.0,2025-09-12 10:00:00,2025-09-12 12:00:00
UNIUSDC,False,12.383085232512107,2012.383085232512,long,7.591,7.638,0.6191542616256054,End of Data,23.0,2025-06-16 08:00:00,2025-06-17 07:00:00
USELESSUSDT,False,-140.00000000000026,1859.9999999999998,short,0.3293,0.352351,-7.000000000000013,Stop Loss,20.0,2025-08-15 12:00:00,2025-08-16 08:00:00
USUALUSDT,True,399.99999999999994,2400.0,long,0.8192,0.98304,20.0,Target Hit,2.0,2024-12-18 13:00:00,2024-12-18 15:00:00
VELVETUSDT,False,-140.00000000000003,1860.0,long,0.08019,0.0745767,-7.000000000000002,Stop Loss,9.0,2025-07-15 09:00:00,2025-07-15 18:00:00
VICUSDT,False,-140.0000000000001,1860.0,long,0.4094,0.38074199999999997,-7.000000000000004,Stop Loss,1.0,2025-03-12 17:00:00,2025-03-12 18:00:00
VINEUSDT,False,-140.00000000000014,1859.9999999999998,short,0.18606,0.19908420000000002,-7.000000000000008,Stop Loss,1.0,2025-01-24 10:00:00,2025-01-24 11:00:00
VTHOUSDT,True,399.99999999999983,2400.0,short,0.008123,0.0064984000000000005,19.999999999999993,Target Hit,7.0,2025-01-22 09:00:00,2025-01-22 16:00:00
VVVUSDT,True,400.0,2400.0,short,9.893,7.9144000000000005,20.0,Target Hit,21.0,2025-01-29 08:00:00,2025-01-30 05:00:00
WALUSDT,False,-140.00000000000009,1860.0,short,0.465,0.49755000000000005,-7.000000000000004,Stop Loss,1.0,2025-03-27 15:00:00,2025-03-27 16:00:00
WCTUSDT,False,-140.00000000000017,1859.9999999999998,long,0.3489,0.32447699999999996,-7.000000000000008,Stop Loss,1.0,2025-04-15 11:00:00,2025-04-15 12:00:00
WLFIUSDC,False,-140.00000000000023,1859.9999999999998,short,0.2073,0.22181100000000004,-7.0000000000000115,Stop Loss,23.0,2025-09-08 08:00:00,2025-09-09 07:00:00
WLFIUSDT,True,400.00000000000006,2400.0,long,0.3661,0.43932,20.000000000000004,Target Hit,3.0,2025-08-23 08:00:00,2025-08-23 11:00:00
XCNUSDT,False,-140.0000000000001,1860.0,long,0.02435,0.0226455,-7.000000000000004,Stop Loss,6.0,2025-04-11 15:00:00,2025-04-11 21:00:00
XNYUSDT,False,-140.00000000000006,1860.0,long,0.014458,0.01344594,-7.000000000000002,Stop Loss,1.0,2025-08-13 11:00:00,2025-08-13 12:00:00
XPINUSDT,True,400.0000000000001,2400.0,long,0.0019201,0.00230412,20.000000000000004,Target Hit,2.0,2025-09-12 08:00:00,2025-09-12 10:00:00
XPLUSDT,False,-140.00000000000009,1860.0,long,0.4982,0.46332599999999996,-7.0000000000000036,Stop Loss,1.0,2025-08-22 09:00:00,2025-08-22 10:00:00
YALAUSDT,False,-140.00000000000009,1860.0,long,0.3559,0.330987,-7.000000000000004,Stop Loss,1.0,2025-08-07 16:00:00,2025-08-07 17:00:00
ZEREBROUSDT,False,-140.0000000000001,1860.0,long,0.6781,0.630633,-7.000000000000004,Stop Loss,12.0,2025-01-02 14:00:00,2025-01-03 02:00:00
ZKCUSDT,True,399.99999999999994,2400.0,short,1.1906,0.9524800000000001,20.0,Target Hit,2.0,2025-09-15 14:00:00,2025-09-15 16:00:00
ZKJUSDT,False,-21.677662582469075,1978.322337417531,long,2.122,2.099,-1.0838831291234536,End of Data,23.0,2025-05-13 09:00:00,2025-05-14 08:00:00
ZORAUSDT,False,-140.00000000000006,1860.0,short,0.04014,0.0429498,-7.000000000000002,Stop Loss,1.0,2025-07-25 11:00:00,2025-07-25 12:00:00
ZRCUSDT,True,400.00000000000006,2400.0,long,0.03744,0.044928,20.000000000000004,Target Hit,7.0,2025-07-29 09:00:00,2025-07-29 16:00:00
